x,y,z
0.0,0.0,-1.2609819173812866
0.0,0.0,-1.6779556274414062
0.0,0.0,-2.566572427749634
0.0,0.0,-3.054625988006592
0.0,0.0,-3.5528368949890137
0.0,0.0,-4.351771354675293
0.0,0.0,-5.152293682098389
0.0,0.0,-5.947469234466553
0.0,0.0,-6.743051052093506
0.0,0.0,-7.550867080688477
0.0,0.0,-8.35286808013916
0.0,0.0,-8.769959449768066
0.43232038617134094,2.2998887516667565e-11,-8.718238830566406
0.9691072106361389,-4.041506573848608e-10,-8.688331604003906
1.6197197437286377,-2.535813115045471e-09,-8.658985137939453
2.3347878456115723,-8.159027231613436e-09,-8.636402130126953
3.085702657699585,-1.9281062080267475e-08,-8.620408058166504
3.891225576400757,-3.891171118652892e-08,-8.608963012695312
4.673189163208008,-6.72831319548095e-08,-8.60145378112793
5.4609808921813965,-9.695824587652169e-08,-8.59616756439209
6.257881164550781,-9.897494379629279e-08,-8.592308044433594
7.050636291503906,-8.689799813055288e-08,-8.5894193649292
7.844350814819336,-6.934326535201762e-08,-8.587132453918457
8.644515037536621,-3.6017066662452635e-08,-8.585221290588379
9.43905258178711,1.4625484823227453e-08,-8.583580017089844
10.233743667602539,6.215118730779068e-08,-8.582097053527832
11.034415245056152,8.224001390999547e-08,-8.580680847167969
11.829277038574219,9.783233423377169e-08,-8.579401016235352
12.6241455078125,1.2944563820838084e-07,-8.578123092651367
13.419013977050781,1.7848161348865688e-07,-8.576845169067383
14.213882446289062,2.4066551418400195e-07,-8.575567245483398
15.01468276977539,3.234109158256615e-07,-8.574320793151855
15.815483093261719,4.2095859953406034e-07,-8.573162078857422
16.6103515625,5.307886112859705e-07,-8.572011947631836
17.411151885986328,6.528981089104491e-07,-8.570853233337402
18.211952209472656,7.848627774365013e-07,-8.569694519042969
19.006820678710938,9.239662404070259e-07,-8.568544387817383
19.80168914794922,1.0695365517676692e-06,-8.567394256591797
20.57876205444336,1.2165480711701093e-06,-8.566269874572754
21.367698669433594,1.3689958677787217e-06,-8.565128326416016
22.162567138671875,1.5242483186739264e-06,-8.56397819519043
22.975231170654297,1.6830201730044791e-06,-8.5628023147583
23.76416778564453,1.835573584685335e-06,-8.561660766601562
24.559036254882812,1.9860815427819034e-06,-8.560510635375977
25.365768432617188,2.1339021714084083e-06,-8.559343338012695
26.154705047607422,2.2720412289345404e-06,-8.558201789855957
26.949573516845703,2.4036246486502932e-06,-8.557051658630371
27.655364990234375,2.5229862785636215e-06,-8.630257606506348
27.97296142578125,2.5689851099741645e-06,-8.91798210144043
27.85529136657715,2.5124008971033618e-06,-9.12293529510498
27.45250701904297,2.384296521995566e-06,-9.1943359375
26.872018814086914,2.2062333755457075e-06,-9.215428352355957
26.197507858276367,1.9936512671847595e-06,-9.220501899719238
25.468748092651367,1.7491712469563936e-06,-9.22087287902832
24.793628692626953,1.499786435488204e-06,-9.282382011413574
24.368844985961914,1.3096131397105637e-06,-9.35269546508789
24.229721069335938,1.1879081966981175e-06,-9.535063743591309
24.353601455688477,1.157151586994587e-06,-9.564725875854492
24.473960876464844,1.1441051128713298e-06,-9.56305980682373
24.62717628479004,1.1648181725831819e-06,-9.612469673156738
25.01413917541504,1.2957625585841015e-06,-9.67844009399414
25.488731384277344,1.4727937696079607e-06,-9.69527816772461
25.81182861328125,1.5953522733980208e-06,-9.730887413024902
26.082500457763672,1.7070912008421146e-06,-9.757369995117188
26.531030654907227,1.8821883713826537e-06,-9.802626609802246
27.04536247253418,2.0518643850664375e-06,-9.82597541809082
27.385299682617188,2.1428841137094423e-06,-9.867339134216309
27.583189010620117,2.1945111257082317e-06,-9.882701873779297
27.693790435791016,2.213546849816339e-06,-9.886404037475586
27.807106018066406,2.1407033727882663e-06,-9.884193420410156
27.826744079589844,0.4421531856060028,-10.039843559265137
27.828542709350586,0.9824937582015991,-10.069003105163574
27.829635620117188,1.635844111442566,-10.077298164367676
27.8303279876709,2.3306260108947754,-10.078873634338379
27.830839157104492,3.0816216468811035,-10.078437805175781
27.83127212524414,3.8521454334259033,-10.077383995056152
27.831527709960938,4.63336181640625,-10.07615852355957
27.831783294677734,5.420425891876221,-10.074880599975586
27.83203887939453,6.210690975189209,-10.073602676391602
27.83228874206543,6.984960556030273,-10.07235336303711
27.832544326782227,7.777915954589844,-10.071075439453125
27.832799911499023,8.57140064239502,-10.069917678833008
